[2026-06-27T12:01:18.588Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T12:01:31.058Z] GET http://localhost:4178/park-detail.html → 200 (6ms, 19945B)
[2026-06-27T12:01:31.067Z] GET http://localhost:4178/assets/css/theme.css → 200 (2ms, 27802B)
[2026-06-27T12:01:31.067Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T12:01:31.067Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (1ms, 1029203B)
[2026-06-27T12:01:31.068Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (26ms, 340606B)
[2026-06-27T12:01:31.068Z] GET http://localhost:4178/assets/js/data.js → 200 (26ms, 47293B)
[2026-06-27T12:01:31.068Z] GET http://localhost:4178/assets/js/charts.js → 200 (26ms, 15865B)
[2026-06-27T12:01:31.068Z] GET http://localhost:4178/assets/js/components.js → 200 (26ms, 13597B)
[2026-06-27T12:01:31.068Z] GET http://localhost:4178/assets/js/shell.js → 200 (26ms, 17726B)
[2026-06-27T12:01:31.125Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T12:01:45.022Z] GET http://localhost:4178/park-detail.html → 200 (8ms, 19945B)
[2026-06-27T12:01:45.033Z] GET http://localhost:4178/assets/css/theme.css → 200 (23ms, 27802B)
[2026-06-27T12:01:45.033Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (3ms, 6063B)
[2026-06-27T12:01:45.037Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (14ms, 1029203B)
[2026-06-27T12:01:45.051Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (21ms, 340606B)
[2026-06-27T12:01:45.051Z] GET http://localhost:4178/assets/js/data.js → 200 (20ms, 47293B)
[2026-06-27T12:01:45.051Z] GET http://localhost:4178/assets/js/charts.js → 200 (20ms, 15865B)
[2026-06-27T12:01:45.051Z] GET http://localhost:4178/assets/js/components.js → 200 (20ms, 13597B)
[2026-06-27T12:01:45.052Z] GET http://localhost:4178/assets/js/shell.js → 200 (21ms, 17726B)
[2026-06-27T12:01:45.091Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
